trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,finished_training_early,reachedFinish,participant,EyeTrack,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,8.89636925701052,None,24.297964305995265,None,24.297964305995265,None,24.297964305995265,None,25.778882101003546,None,31.534087973996066,4,8,1,6,2,7,0,9,1.6,1,0,4,1.5,1.6,2.1,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.59409426798811,43.09476721298415,42.59409426798811,43.09476721298415,42.59409426798811,43.09476721298415,left,1.509119101014221,42.59409426798811,None,44.142809031996876,None,x,0.40840892400592566,44.142809031996876,None,44.142809031996876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,36.050197103002574,0,9,4,5,2,8,1,7,1.6,1,0,7,1.5,1.6,2.1,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.1138713810069,47.61426936800126,47.1138713810069,47.61426936800126,47.1138713810069,47.61426936800126,down,1.0613820290018339,47.1138713810069,None,48.203764739009785,None,x,0.5715288460196462,48.203764739009785,None,48.203764739009785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,40.27118195898947,1,5,0,9,4,8,3,7,1.6,0,1,4,2.9000000000000004,1.6,2.9000000000000004,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,51.33342457198887,51.83378467900911,51.33342457198887,51.83378467900911,51.33342457198887,51.83378467900911,down,1.5007477489998564,52.634549841983244,None,54.15242034298717,None,x,0.5668784830195364,54.15242034298717,None,54.15242034298717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,46.18994802198722,1,5,3,7,2,6,0,8,1.6,0,1,0,2.9000000000000004,1.6,2.9000000000000004,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,57.254371479008114,57.75478480500169,57.254371479008114,57.75478480500169,57.254371479008114,57.75478480500169,down,1.2921492359892,58.55526591098169,None,59.87313320499379,None,z,1.8541324480029289,59.87313320499379,None,59.87313320499379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,53.26018626298173,0,9,2,7,4,5,3,6,1.6,1,0,4,1.5,1.6,2.1,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.32591986900661,64.826364448003,64.32591986900661,64.826364448003,64.32591986900661,64.826364448003,down,0.9453337129962165,64.32591986900661,None,65.29271945499931,None,x,0.4424923610058613,65.29271945499931,None,65.29271945499931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,57.280141530995024,4,8,3,9,2,5,0,6,1.6,0,1,3,2.9000000000000004,1.6,2.9000000000000004,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,68.34530301799532,68.84564290801063,68.34530301799532,68.84564290801063,68.34530301799532,68.84564290801063,down,1.5848745109979063,69.6463455859921,None,71.2638939509925,None,z,0.3033571060223039,71.2638939509925,None,71.2638939509925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,63.35165881499415,2,5,4,8,3,7,1,6,1.6,1,1,6,1.5,1.6,2.1,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.41642219899222,74.9167712169874,74.41642219899222,74.9167712169874,74.41642219899222,74.9167712169874,down,0.8068012039875612,74.41642219899222,None,75.24976956198225,None,x,0.3975042910024058,75.24976956198225,None,75.24976956198225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70.6430863130081,2,6,1,5,3,8,4,7,1,1,3,79.56046656900435,None,2,6,1,0,3,8,4,7,0,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.85380906099454,81.35417595799663,80.85380906099454,81.35417595799663,80.85380906099454,81.35417595799663,None,None,down,1.2094060620001983,80.85380906099454,None,None,None,x,0.8427775220188778,82.10852303900174,None,82.97233794198837,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,74.59746741200797,1,9,3,5,4,8,2,6,1,0,6,83.51216091998504,None,1,9,3,5,4,8,2,6,0,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.80768467899179,85.30735402999562,84.80768467899179,85.30735402999562,84.80768467899179,85.30735402999562,None,None,down,2.391596468980424,84.80768467899179,None,None,None,x,0.25107168100657873,87.23621346600703,None,87.5092933299893,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,79.1322149040061,1,6,0,5,3,7,2,9,0,1,7,88.0471260919876,None,1,6,0,5,3,7,2,4,1,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,89.34411969498615,89.84453824098455,89.34411969498615,89.84453824098455,89.34411969498615,89.84453824098455,None,None,down,1.138704923010664,90.64456890200381,None,None,None,z,0.24968335599987768,91.8217102040071,None,92.09568390599452,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
